Company Name,Vacancy Title,Position Title,Level,Skills
VK,"Инженер-разработчик Data Science (проект ""Лента"") в Одноклассники",Ученый по данным,Средний (Middle),"['Python', 'Java', 'Apache Spark', 'Apache Hadoop']"
Сбер,Data engineer,Инженер по данным,Средний (Middle),"['SQL', 'Python']"
Лаборатория Касперского,Data Scientist,Разработчик игр,,['Python']
ВСК,Data Scientist,Ученый по данным,Средний (Middle),['Python']
Сбер,Data scientist,Ученый по данным,Средний (Middle),"['Git', 'SQL', 'Python', 'Машинное обучение', 'Jenkins', 'Базы данных']"
Team4You,Data engineer,Инженер по данным,Старший (Senior),"['Terraform', 'ETL']"
IT_One,Data Architect,Архитектор баз данных,,"['Apache Kafka', 'Apache Spark', 'Проектирование баз данных']"
Action tech,Data engineer,Инженер по данным,Средний (Middle),"['SQL', 'Python', 'ООП', 'Java', 'Scala']"
Норникель Спутник,Data Engineer,Инженер по данным,Старший (Senior),"['Python', 'SQL', 'Apache Hadoop', 'Apache Kafka']"
Winline,Data engineer,Инженер по данным,Старший (Senior),"['DWH', 'PostgreSQL', 'ETL']"
Холдинг Т1,Data аналитик,Аналитик по данным,Средний (Middle),"['SQL', 'Python', 'Apache Hadoop']"
TINKOFF,Data Engineer,Инженер по данным,,"['SQL', 'DWH', 'ETL', 'Python', 'Java']"
BIA-Technologies,Data Engineer,Ученый по данным,Средний (Middle),"['Python', 'SQL', 'Docker', 'Apache Hadoop', 'Apache Airflow']"
ЛАНИТ,Data Scientist,Ученый по данным,Средний (Middle),"['PyTorch', 'Keras', 'Python', 'NumPy', 'SQL']"
ITFB Group,Data инженер,Инженер по данным,Старший (Senior),['Python']
SberAutoTech,Data Engineer,Инженер по данным,Средний (Middle),"['SQL', 'Python']"
Холдинг Т1,Data Engineer,Инженер по данным,Старший (Senior),"['TensorFlow', 'Машинное обучение', 'PyTorch']"
Банк ПСБ,Data engineer,Инженер по данным,Средний (Middle),"['Python', 'Apache Airflow', 'ETL']"
Росбанк,Data Scientist,Ученый по данным,Средний (Middle),"['SQL', 'Python', 'Математическое моделирование', 'Sass']"
АО «ГНИВЦ»,Data engineer,Инженер по данным,Средний (Middle),"['SQL', 'Apache Hadoop', 'Scala', 'Java', 'Apache Spark']"
МТС,Data Engineer на продукт B2B (Big Data),Инженер по данным,Средний (Middle),"['Python', 'Apache Spark', 'Apache Airflow', 'SQL']"
SM Lab,Senior Data engineer,Инженер по данным,Ведущий (Lead),"['Apache Spark', 'Apache Hadoop', 'SQL', 'Python']"
Банк ВТБ,Data scientist (модели оптимизации),ML разработчик,Средний (Middle),"['SQL', 'Python', 'Apache Spark']"
Яндекс,Старший iOS-разработчик в Яндекс Диск,Разработчик мобильных приложений,Старший (Senior),"['Swift', 'Разработка под iOS', 'Xcode', 'CoreData', 'Objective-С']"
SM Lab,Data Scientist (Прогнозирование),Ученый по данным,Средний (Middle),"['Python', 'SQL', 'Oracle']"
Банк ВТБ,Data scientist (NLP),ML разработчик,Средний (Middle),"['SQL', 'Python', 'Алгоритмы и структуры данных']"
Банк ВТБ,Data scientist (команда Collection),ML разработчик,Средний (Middle),"['SQL', 'Python', 'Apache Spark']"
beeline,Team Lead Data Engineer,Инженер по данным,Ведущий (Lead),"['Scala', 'Apache Hadoop', 'Apache Spark', 'SQL', 'PostgreSQL']"
Samokat.tech,QA Engineer (Big Data),Инженер по обеспечению качества,Средний (Middle),"['SQL', 'DWH', 'ETL', 'REST', 'Ручное тестирование']"
SM Lab,Senior Data engineer,Инженер по данным,Старший (Senior),"['Python', 'Oracle', 'Apache Hadoop', 'Apache Airflow', 'Apache Kafka', 'Apache Spark', 'SQL', 'Большие данные']"
Онлайн-кинотеатр Иви,Java-разработчик Big Data,Бэкенд разработчик,Младший (Junior),"['Java', 'Spring Boot', 'Kubernetes']"
GlowByte,Senior Data Scientist,Ученый по данным,Старший (Senior),"['Python', 'Базы данных', 'SQL', 'Машинное обучение', 'Математическое моделирование', 'NumPy']"
TINKOFF,Business Data Engineer,Инженер по данным,,"['Python', 'SQL', 'DWH', 'ETL', 'Apache Airflow']"
Action tech,Team Lead Data Platform,Инженер по данным,Ведущий (Lead),"['Python', 'SQL', 'Git', 'Apache Hadoop', 'Apache Spark', 'Apache Airflow', 'Apache Kafka']"
АльфаСтрахование,Middle Data Engineer,Инженер по данным,Средний (Middle),"['Python', 'SQL', 'Apache Spark', 'Apache Hadoop']"
Холдинг Т1,Data аналитик (Виртуальные ассистенты),Аналитик по данным,Средний (Middle),"['SQL', 'Python', 'Алгоритмы и структуры данных', 'Git', 'Базы данных']"
МТС,Data Analyst | Lead data analyst [CJ Monitoring & Discovery],Аналитик по данным,Старший (Senior),['Анализ данных']
Bell Integrator,Data Engineer (Удаленно по РФ),Инженер по данным,Средний (Middle),"['SQL', 'Python', 'Java', 'ETL']"
Сибур Диджитал,Аналитик данных / Data Scientist (middle+),Аналитик по данным,Средний (Middle),"['Машинное обучение', 'Python', 'SQL']"
Онлайн-кинотеатр Иви,Java-разработчик Big Data (Middle),Бэкенд разработчик,Средний (Middle),"['ClickHouse', 'Java', 'Spring Boot', 'SQL']"
Банк ВТБ,Ведущий аналитик (качество данных\Data quality),Бизнес-аналитик,Средний (Middle),"['DWH', 'BI']"
Банк ВТБ,Ведущий аналитик (управление данными\Data Governance),Бизнес-аналитик,Средний (Middle),['Анализ данных']
Банк ВТБ,Data Scientist (моделирование КИБ и СМБ),ML разработчик,Средний (Middle),"['SQL', 'Python', 'Машинное обучение', 'Apache Spark']"
Банк ВТБ,Data Scientist (команда перспективных алгоритмов машинного обучения),ML разработчик,Старший (Senior),"['SQL', 'Python', 'Машинное обучение', 'Deep Learning', 'PyTorch', 'Нейронные сети', 'Компьютерное зрение', 'NumPy']"
Банк ВТБ,Data Scientist в команду моделирования розничного бизнеса,ML разработчик,Старший (Senior),"['SQL', 'Python', 'Apache Spark', 'Машинное обучение', 'Deep Learning', 'Нейронные сети']"
